account_id,customer_id,account_type,balance,open_date
1,1864,Savings,15241.17,2018-07-19
2,483,Credit,11150.72,2024-01-19
3,1444,Checking,14923.42,2016-12-10
4,1168,Loan,-12660.65,2024-12-02
5,1864,Loan,-11998.99,2017-02-05
6,74,Checking,2696.06,2019-07-02
7,694,Credit,17946.61,2018-02-08
8,1215,Credit,19208.06,2021-06-14
9,61,Credit,12637.56,2024-03-18
10,826,Savings,4864.99,2022-10-29
11,1061,Checking,17425.36,2022-05-19
12,758,Credit,17454.76,2021-02-06
13,1667,Savings,13514.97,2017-05-04
14,1963,Checking,9439.46,2015-07-26
15,1489,Savings,15407.35,2021-01-17
16,321,Savings,3628.9,2021-06-11
17,1203,Savings,9856.6,2025-01-24
18,91,Loan,-29110.75,2021-07-01
19,1594,Loan,-38452.68,2020-09-01
20,826,Savings,19042.85,2020-03-12
21,1028,Savings,5389.67,2022-05-31
22,169,Credit,2713.69,2017-11-01
23,1027,Credit,6156.53,2017-06-21
24,1625,Checking,6492.61,2020-12-03
25,1959,Savings,18243.42,2022-06-05
26,1164,Savings,228.13,2021-04-20
27,19,Loan,-10069.87,2023-06-28
28,165,Checking,5808.43,2017-11-06
29,90,Savings,15063.61,2022-03-25
30,523,Loan,-8891.6,2018-09-20
31,1284,Savings,8664.75,2024-09-03
32,1414,Credit,8133.04,2022-07-24
33,994,Savings,1345.16,2025-01-04
34,1623,Checking,4578.13,2023-08-25
35,381,Loan,-25395.25,2017-11-28
36,798,Credit,9192.36,2015-06-10
37,1180,Savings,10734.39,2016-01-03
38,736,Savings,16109.98,2015-04-22
39,1090,Savings,7078.89,2022-11-08
40,804,Checking,4896.84,2019-11-29
41,263,Loan,-2887.53,2021-11-27
42,1767,Savings,13552.29,2024-07-18
43,340,Loan,-25965.24,2017-08-05
44,592,Checking,13169.13,2024-08-08
45,1926,Savings,14411.02,2018-12-22
46,1834,Credit,18215.78,2016-02-24
47,1660,Checking,8921.06,2024-08-24
48,1271,Checking,9357.62,2020-08-18
49,1152,Checking,11112.5,2016-02-26
50,730,Checking,1034.93,2022-09-24
51,482,Savings,6402.94,2017-02-08
52,367,Credit,10196.29,2019-08-25
53,1881,Credit,10354.42,2018-08-15
54,863,Loan,-17594.53,2021-01-29
55,1291,Checking,8795.68,2022-03-30
56,1476,Loan,-36096.89,2021-12-02
57,278,Checking,4057.93,2020-08-08
58,1512,Savings,6546.62,2019-02-25
59,1078,Checking,563.68,2024-11-07
60,1465,Savings,6232.97,2018-07-27
61,1410,Loan,-19772.14,2016-12-18
62,1339,Checking,19899.3,2018-12-15
63,472,Loan,-14525.85,2017-06-01
64,1666,Savings,6130.22,2025-02-09
65,1008,Loan,-34433.89,2020-03-30
66,1297,Checking,11261.31,2022-09-09
67,1706,Credit,7919.05,2015-04-24
68,468,Checking,4625.84,2021-06-08
69,484,Credit,19844.65,2022-05-11
70,1537,Credit,12634.41,2021-11-11
71,1911,Checking,7841.99,2018-08-10
72,492,Credit,6854.14,2017-07-22
73,829,Checking,18901.74,2021-10-27
74,1770,Checking,14528.19,2020-12-02
75,1184,Savings,11339.82,2024-10-26
76,1247,Loan,-39038.76,2021-12-25
77,1218,Checking,18605.96,2017-11-17
78,965,Loan,-5563.65,2017-07-19
79,552,Credit,11303.79,2022-01-19
80,958,Loan,-34552.25,2022-10-16
81,916,Checking,646.6,2018-09-30
82,486,Loan,-16782.38,2020-06-21
83,1811,Checking,14578.89,2022-09-15
84,1196,Checking,18480.08,2023-08-30
85,779,Savings,4487.12,2022-02-11
86,1322,Checking,8608.17,2022-12-22
87,1785,Checking,4617.18,2020-09-05
88,1189,Checking,17772.63,2023-02-14
89,1237,Credit,18133.13,2024-12-22
90,1450,Checking,12607.46,2022-10-16
91,903,Loan,-40093.07,2019-02-04
92,600,Credit,14442.52,2020-11-18
93,995,Loan,-28550.57,2022-06-28
94,1552,Checking,10102.56,2024-04-16
95,1106,Checking,2396.11,2022-07-05
96,719,Checking,13694.48,2015-12-19
97,625,Savings,12133.91,2020-08-04
98,1264,Credit,3107.06,2023-04-08
99,1562,Credit,18277.58,2019-02-18
100,1093,Loan,-17616.02,2017-09-30
101,402,Loan,-26922.59,2017-06-29
102,851,Loan,-10929.3,2021-03-15
103,1432,Savings,9494.25,2019-05-13
104,324,Credit,16684.56,2017-03-07
105,41,Savings,15890.95,2021-06-30
106,1475,Loan,-38613.12,2022-09-16
107,1811,Credit,4884.96,2015-06-07
108,160,Savings,3806.29,2022-02-05
109,1841,Checking,3044.48,2024-06-05
110,1950,Loan,-40227.98,2021-03-08
111,1607,Credit,2131.32,2019-11-12
112,158,Loan,-3618.98,2020-02-12
113,1522,Checking,919.36,2016-06-05
114,1542,Checking,3501.76,2023-03-19
115,299,Savings,17298.64,2025-02-10
116,355,Checking,13863.94,2019-06-30
117,85,Checking,3739.73,2017-04-26
118,1211,Checking,4504.55,2017-08-03
119,1663,Checking,19692.36,2024-07-28
120,652,Savings,15470.07,2016-06-20
121,1936,Credit,2053.11,2024-02-26
122,499,Credit,17065.49,2020-05-21
123,1028,Checking,17083.31,2023-06-08
124,293,Credit,14459.89,2022-10-12
125,141,Credit,17817.32,2018-06-02
126,544,Savings,3560.58,2018-12-21
127,1366,Checking,992.55,2018-07-17
128,690,Savings,8438.16,2023-05-13
129,615,Credit,5087.44,2020-10-31
130,830,Savings,4530.7,2019-08-14
131,375,Loan,-42427.1,2016-09-26
132,1914,Loan,-15183.46,2019-03-14
133,1299,Loan,-42787.32,2020-12-02
134,933,Loan,-20298.2,2017-12-31
135,725,Credit,2759.35,2018-03-20
136,717,Checking,18183.48,2020-11-01
137,296,Savings,7413.16,2023-09-25
138,387,Savings,7241.57,2019-09-07
139,546,Loan,-1725.68,2017-07-09
140,1239,Savings,3329.73,2019-06-07
141,1954,Checking,99.52,2015-03-08
142,651,Savings,16972.19,2015-09-01
143,1383,Savings,11283.6,2024-01-10
144,324,Credit,17971.97,2021-08-18
145,759,Loan,-35273.98,2022-10-19
146,1794,Checking,821.91,2015-05-02
147,1787,Savings,2708.8,2020-05-02
148,949,Loan,-48699.38,2016-11-27
149,196,Loan,-47849.26,2022-04-13
150,1536,Credit,5232.72,2018-08-30
