transaction_id,account_id,transaction_date,transaction_type,amount,description
1,2813,2022-12-13 13:05:43.351573,Payment,559.9,Training soldier wonder chair increase rock near case.
2,2030,2025-01-07 05:27:22.998636,Purchase,8321.87,Make bar product hundred culture.
3,2461,2023-03-27 02:54:02.361946,Withdrawal,2718.99,Happen thank let message magazine nation population.
4,1967,2022-02-09 10:59:41.704942,Deposit,1321.15,Couple consider tax might people water.
5,1973,2021-11-14 22:53:28.336582,Payment,3673.91,Voice thousand American democratic face church control.
6,2760,2022-10-21 07:44:03.552588,Deposit,2603.1,Worker voice police race would lawyer sea throughout.
7,2107,2022-04-16 14:27:35.967709,Transfer,925.42,Talk thought suddenly but.
8,1167,2021-10-15 02:23:00.111656,Payment,8505.59,Affect remain pretty believe produce.
9,418,2020-10-18 01:22:26.416160,Payment,5800.7,Statement range cell much.
10,682,2020-03-20 04:22:18.962731,Withdrawal,7276.45,Thing painting air already size daughter red.
11,2928,2023-04-26 20:48:14.953212,Withdrawal,1587.41,Night western ever.
12,1919,2024-01-25 11:32:41.101098,Transfer,389.12,Herself whole avoid probably suffer whatever impact.
13,266,2020-12-07 01:07:58.814867,Purchase,3224.34,Night majority general issue ready lawyer money.
14,2857,2023-05-24 12:28:53.463006,Payment,566.62,Set test woman choice.
15,2810,2023-09-09 18:15:55.980431,Purchase,5152.85,Someone without hard cover score.
16,253,2023-09-27 04:05:02.511455,Purchase,7473.43,It network race upon blood.
17,2770,2024-08-10 13:32:36.060999,Payment,1255.45,Drive identify service.
18,1287,2021-07-25 16:57:17.419621,Payment,6296.89,You door south.
19,1937,2020-04-07 01:20:58.111709,Deposit,1397.45,Physical stuff board price instead.
20,1070,2022-03-22 05:48:49.243437,Transfer,4513.4,Stay join strategy large market into.
21,741,2023-01-19 00:52:49.353675,Transfer,6928.73,Wide rather for deep.
22,669,2022-02-12 20:59:24.666518,Withdrawal,1152.77,Rather new painting including whose.
23,2322,2020-03-20 09:40:16.735993,Transfer,5826.21,Tree fill four edge.
24,658,2020-10-30 19:46:52.689632,Transfer,4537.72,Behavior on deal.
25,2303,2023-12-25 07:53:35.118158,Purchase,9013.2,Wonder during mean certainly court successful.
26,1641,2023-02-27 21:29:51.802017,Deposit,179.14,Treat standard born available star interesting.
27,276,2021-09-17 08:32:02.939021,Purchase,3219.14,Sing speak music animal but section.
28,2302,2020-11-29 01:00:36.361331,Withdrawal,7431.87,Suddenly herself hear specific TV win base.
29,1459,2024-08-20 09:26:56.351267,Payment,9652.04,Once why yard for note.
30,1088,2022-09-28 10:47:40.704462,Transfer,2184.88,Nice trade seek drop.
31,2920,2022-04-03 08:43:41.617948,Purchase,8837.86,Bag true data part pretty offer available fall.
32,2606,2021-04-26 11:45:17.417618,Withdrawal,5398.81,Relationship upon last vote fight majority.
33,2493,2024-11-18 21:30:42.282047,Purchase,6824.22,Change simple positive within.
34,114,2023-08-05 07:12:40.429800,Purchase,8130.63,Too example star suggest meeting life part.
35,380,2023-10-27 14:42:01.263917,Purchase,1698.84,Bad question turn feel early.
36,2536,2022-02-01 16:26:47.389740,Deposit,7016.62,Soon paper start cultural material.
37,371,2024-10-15 01:05:52.324568,Withdrawal,1124.61,Girl technology boy build ground my national.
38,2321,2025-01-07 00:14:32.617954,Purchase,6770.08,Reveal hear scientist enter.
39,2271,2023-03-18 02:04:44.798701,Payment,8630.07,Drive especially treat why trip you yourself actually.
40,1068,2020-11-10 13:39:18.689835,Payment,2180.48,Southern read water.
41,1902,2022-03-12 09:47:01.536823,Transfer,4200.64,Interest century offer arrive who.
42,773,2021-12-22 05:13:16.540988,Withdrawal,219.4,Pick never fear also common our note.
43,2841,2021-10-17 13:03:02.120366,Payment,4088.69,Get science total once.
44,2922,2024-11-22 23:29:55.314842,Payment,8138.24,Simple cold field building dog particularly.
45,1073,2022-07-30 13:20:38.507240,Withdrawal,4529.58,Up investment worry rule near everything take base.
46,2683,2021-02-23 11:41:41.312074,Purchase,8058.84,She never per himself out process.
